index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
35,第二篇  呼吸系统疾病,第八章  肺癌,【诊断与鉴别诊断】,（一）诊断,,,肺癌的诊断与鉴别,肺癌的诊断,SP,PO,,book,,,,,,
36,第二篇  呼吸系统疾病,第八章  肺癌,【诊断与鉴别诊断】,（二）鉴别诊断,,,肺癌的诊断与鉴别,肺癌的鉴别诊断,SP,PO,,book,,,,,,
37,第二篇  呼吸系统疾病,第八章  肺癌,【肺癌临床分期】,,,,肺癌的临床分期,,,,,book,,,,,,
38,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,,,,肺癌的治疗方法,,,,,book,,,,,,
39,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,（一）手术治疗,,,肺癌的治疗方法,肺癌的手术治疗,SP,PO,,book,,,,,,
40,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,（二）药物治疗,,,肺癌的治疗方法,肺癌的药物治疗,SP,PO,,book,,,,,,
41,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,（三）放射治疗（放疗）,,,肺癌的治疗方法,肺癌的放射治疗（放疗）,SP,PO,,book,,,,,,
42,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,（四）介入治疗,,,肺癌的治疗方法,肺癌的介入治疗,SP,PO,,book,,,,,,
43,第二篇  呼吸系统疾病,第八章  肺癌,【治疗】,（五）中医药治疗,,,肺癌的治疗方法,肺癌的中医药治疗,SP,PO,,book,,,,,,
44,第二篇  呼吸系统疾病,第八章  肺癌,【预防】,,,,预防肺癌的方法,,,,,book,,,,,,
45,第二篇  呼吸系统疾病,第八章  肺癌,【预后】,,,,肺癌的预后,,,,,book,,,,,,
46,第二篇  呼吸系统疾病,第九章  间质性肺疾病,,,,,间质性肺疾病的概述,,,,,book,,,,,,
47,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,,,,间质性肺疾病的分类,,,,,book,,,,,,
48,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,,,间质性肺疾病分类的诊断,,,,,book,,,,,,
49,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,,,,特发性肺纤维化的概述,,,,,book,,,,,,
50,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【流行病学】,,,特发性肺纤维化的流行病学,,,,,book,,,,,,
51,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【病理改变】,,,特发性肺纤维化的病理改变,,,,,book,,,,,,
52,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【病因和发病机制】,,,特发性肺纤维化的病因和发病机制,,,,,book,,,,,,
53,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【临床表现】,,,特发性肺纤维化的临床表现,,,,,book,,,,,,
54,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【辅助检查】,,,特发性肺纤维化的辅助检查手段,,,,,book,,,,,,
55,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【诊断】,,,特发性肺纤维化的诊断方法,,,,,book,,,,,,
56,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【鉴别诊断】,,,特发性肺纤维化的鉴别诊断,,,,,book,,,,,,
57,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【治疗】,,,特发性肺纤维化的治疗方法,,,,,book,,,,,,
58,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第二节  特发性肺纤维化,【自然病程与预后】,,,特发性肺纤维化自然病程与预后,,,,,book,,,,,,
59,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,,,,结节病的概述,,,,,book,,,,,,
60,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【流行病学】,,,结节病的流行病学,,,,,book,,,,,,
61,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【病因和发病机制】,,,结节病的病因和发病机制,,,,,book,,,,,,
62,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【病理】,,,结节的病理,,,,,book,,,,,,
63,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【临床表现】,,,结节病的临床表现,,,,,book,,,,,,
64,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【临床表现】,（一）急性结节病,,结节病的临床表现,急性结节病的临床表现,SP,S,这个细粒度标题注意一下要标成：急性结节病的临床表现。相当于结节病有两种类型，分别讨论临床表现。也因此这个展开维度是S的维度,book,,,,,,
65,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【临床表现】,（二）亚急性/慢性结节病,,结节病的临床表现,亚急性/慢性结节病的临床表现,SP,S,同上,book,,,,,,
66,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（一）影像学检查,,结节病的辅助检查,结节病的影像学检查,SP,PO,,book,,,,,,
67,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（二）肺功能试验,,结节病的辅助检查,结节病的肺功能试验,SP,PO,,book,,,,,,
68,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（三）纤维支气管镜与支气管肺泡灌洗,,结节病的辅助检查,结节病的纤维支气管镜与支气管肺泡灌洗,SP,PO,,book,,,,,,
69,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（四）血液检查,,结节病的辅助检查,结节病的血液检查,SP,PO,,book,,,,,,
70,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（五）结核菌素试验,,结节病的辅助检查,结节病的结核菌素试验,SP,PO,,book,,,,,,
71,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【诊断】,,,结节病的诊断,,,,,book,,,,,,
72,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【鉴别诊断】,,,结节病的鉴别诊断,,,,,book,,,,,,
73,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【治疗】,,,结节病的治疗方法,,,,,book,,,,,,
74,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【预后】,,,结节病的预后,,,,,book,,,,,,
75,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,一、过敏性肺炎,,,过敏性肺炎,,,,,book,,,,,,
76,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,二、嗜酸性粒细胞性肺炎,,,嗜酸性粒细胞性肺炎,,,,,book,,,,,,
77,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,三、肺朗格汉斯细胞组织细胞增生症,,,肺朗格汉斯细胞组织细胞增生症,,,,,book,,,,,,
78,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,四、肺淋巴管平滑肌瘤病,,,肺淋巴管平滑肌瘤病,,,,,book,,,,,,
79,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,五、肺泡蛋白沉着症,,,肺泡蛋白沉着症,,,,,book,,,,,,
80,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第四节  其他间质性肺疾病,六、特发性肺含铁血黄素沉着症,,,特发性肺含铁血黄素沉着症,,,,,book,,,,,,
81,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,,,,,肺血栓栓塞症的概述,,,,,book,,,,,,
82,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【流行病学】,,,,肺血栓栓塞症的流行病学,,,,,book,,,,,,
83,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【危险因素】,,,,肺血栓栓塞症的危险因素,,,,,book,,,,,,
84,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【病理和病理生理】,,,,肺血栓栓塞症的病理和病理生理,,,,,book,,,,,,
85,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【临床表现】,（一）症状,,,肺血栓栓塞症的临床表现,肺血栓栓塞症的症状,SP,PO,,book,,,,,,
86,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【临床表现】,（二）体征,,,肺血栓栓塞症的临床表现,肺血栓栓塞症的体征,SP,PO,,book,,,,,,
87,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【临床表现】,（三）DVT的症状与体征,,,肺血栓栓塞症的临床表现,DVT的症状与体征,SP,PO,,book,,,,,,
88,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【诊断】,,,,肺血栓栓塞症的诊断方法,,,,,book,,,,,,
89,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【诊断】,（一）根据临床情况疑诊PTE（疑诊）,,,肺血栓栓塞症的诊断方法,根据临床情况疑诊PTE（疑诊）,SPO,PO,,book,,,,,,
90,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【诊断】,（二）对疑诊病例进一步明确诊断（确诊）,,,肺血栓栓塞症的诊断方法,对疑诊病例进一步明确诊断肺血栓栓塞症（确诊）,SPO,PO,,book,,,,,,
91,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【诊断】,（三）寻找PTE的成因和危险因素（求因）,,,肺血栓栓塞症的诊断方法,寻找PTE的成因和危险因素（求因）,SPO,PO,,book,,,,,,
92,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【PTE的临床分型】,（一）急性肺血栓栓塞症,,,肺血栓栓塞症的临床分型,急性肺血栓栓塞症的概述,S,PO,,book,,,,,,
93,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【PTE的临床分型】,（二）慢性血栓栓塞性肺动脉高压,,,肺血栓栓塞症的临床分型,慢性血栓栓塞性肺动脉高压的概述,S,PO,,book,,,,,,
94,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【鉴别诊断】,,,,肺血栓栓塞症的鉴别诊断,,,,,book,,,,,,
95,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,,,,肺血栓栓塞症的治疗方案及原则,,,,,book,,,,,,
96,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（一）一般处理与呼吸循环支持治疗,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的一般处理与呼吸循环支持治疗,SP,PO,,book,,,,,,
97,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（二）抗凝治疗,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的抗凝治疗,SP,PO,,book,,,,,,
98,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（三）溶栓治疗,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的溶栓治疗,SP,PO,,book,,,,,,
99,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（四）肺动脉导管碎解和抽吸血栓,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的治疗方案及原则：肺动脉导管碎解和抽吸血栓,SPO,PO,,book,,,,,,
100,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（五）肺动脉血栓摘除术,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的治疗方案及原则：肺动脉血栓摘除术,SPO,PO,,book,,,,,,
101,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（六）放置腔静脉滤器,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的治疗方案及原则：放置腔静脉滤器,SPO,PO,,book,,,,,,
102,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【预防】,,,,肺血栓栓塞症的预防措施,,,,,book,,,,,,
103,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,,,,,非毒性甲状腺肿的概述,,,,,book,,,,,,
104,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,,,,弥漫性非毒性甲状腺肿,,,,,book,,,,,,
105,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,【病因和发病机制】,,,弥漫性非毒性甲状腺肿的病因和发病机制,,,,,book,,,,,,
106,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,【病理】,,,弥漫性非毒性甲状腺肿的病理,,,,,book,,,,,,
107,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,【临床表现】,,,弥漫性非毒性甲状腺肿的临床表现,,,,,book,,,,,,
108,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,【诊断与鉴别诊断】,,,弥漫性非毒性甲状腺肿的诊断与鉴别,,,,,book,,,,,,
109,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第一节  弥漫性非毒性甲状腺肿,【防治】,,,弥漫性非毒性甲状腺肿的防治,,,,,book,,,,,,
110,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,,,,非毒性多结节性甲状腺肿的概述,,,,,book,,,,,,
111,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【病因和发病机制】,,,非毒性多结节性甲状腺肿的病因和发病机制,,,,,book,,,,,,
112,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【病理】,,,非毒性多结节性甲状腺肿的病理,,,,,book,,,,,,
113,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【临床表现】,,,非毒性多结节性甲状腺肿的临床表现,,,,,book,,,,,,
114,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【诊断与鉴别诊断】,,,非毒性多结节性甲状腺肿的诊断与鉴别,,,,,book,,,,,,
115,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【治疗】,,,非毒性多结节性甲状腺肿的治疗,,,,,book,,,,,,
116,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,,,,,甲状腺功能亢进症的概述,,,,,book,,,,,,
117,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【病因和发病机制】,,,,甲状腺功能亢进症的概述,,,,,book,,,,,,
118,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【临床表现】,,,,甲状腺功能亢进症的临床表现,,,,,book,,,,,,
119,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【特殊的临床表现和类型】,,,,甲状腺功能亢进症的特殊的临床表现和类型,,,,,book,,,,,,
120,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【实验室和其他检查】,,,,甲状腺功能亢进症的实验室和其他检查,,,,,book,,,,,,
121,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【诊断】,,,,甲状腺功能亢进症的诊断,,,,,book,,,,,,
122,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【鉴别诊断】,,,,甲状腺功能亢进症的鉴别诊断,,,,,book,,,,,,
123,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,,,,甲状腺功能亢进症的治疗方法,,,,,book,,,,,,
124,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（一）抗甲状腺药物（ATD）,,,甲状腺功能亢进症的治疗方法,甲状腺功能亢进症的抗甲状腺药物（ATD）治疗,SP,PO,,book,,,,,,
125,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（二）放射碘,,,甲状腺功能亢进症的治疗方法,甲状腺功能亢进症的放射碘治疗,SP,PO,,book,,,,,,
126,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（三）手术治疗,,,甲状腺功能亢进症的治疗方法,甲状腺功能亢进症的手术治疗,SP,PO,,book,,,,,,
127,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（四）其他治疗,,,甲状腺功能亢进症的治疗方法,甲状腺功能亢进症的其他治疗,SP,PO,,book,,,,,,
128,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（五）甲状腺危象的治疗,,,甲状腺功能亢进症的治疗方法,甲状腺危象的治疗,SP,S,,book,,,,,,
129,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（六）Graves眼病（GO）的治疗,,,甲状腺功能亢进症的治疗方法,Graves眼病（GO）的治疗,SP,S,,book,,,,,,
130,第七篇  内分泌和代谢性疾病,第十章  甲状腺功能亢进症,【治疗】,（七）妊娠期甲亢的治疗,,,甲状腺功能亢进症的治疗方法,妊娠期甲亢的治疗,SP,S,,book,,,,,,
131,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,,,,,甲状腺功能减退症的概述,,,,,book,,,,,,
132,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【分类】,（一）根据病变发生的部位分类,,,甲状腺功能减退症的分类,甲状腺功能减退症根据病变发生的部位分类,SP,PO,,book,,,,,,
133,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【分类】,（二）根据病变的原因分类,,,甲状腺功能减退症的分类,甲状腺功能减退症根据病变的原因分类,SP,PO,,book,,,,,,
134,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【分类】,（三）根据甲状腺功能减低的程度分类,,,甲状腺功能减退症的分类,甲状腺功能减退症根据甲状腺功能减低的程度分类,SP,PO,,book,,,,,,
135,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【病因】,,,,甲状腺功能减退症的病因,,,,,book,,,,,,
136,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【临床表现】,,,,甲状腺功能减退症的临床表现,,,,,book,,,,,,
137,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【实验室诊断】,,,,甲状腺功能减退症的诊断与鉴别诊断,甲状腺功能减退症的诊断,SP,PO,,book,,,,,,
138,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【诊断与鉴别诊断】,（一）诊断,,,甲状腺功能减退症的诊断与鉴别诊断,甲状腺功能减退症的诊断,SP,PO,,book,,,,,,
139,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【诊断与鉴别诊断】,（二）鉴别诊断,,,甲状腺功能减退症的,,,,,book,,,,,,
140,第七篇  内分泌和代谢性疾病,第十一章  甲状腺功能减退症,【治疗】,,,,甲状腺功能减退症的治疗方法,,,,,book,,,,,,
141,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,,,,亚急性甲状腺炎的概述,,,,,book,,,,,,
142,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【病因】,,,亚急性甲状腺炎的病因,,,,,book,,,,,,
143,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【病理】,,,亚急性甲状腺炎的病理,,,,,book,,,,,,
144,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【临床表现】,,,亚急性甲状腺炎的临床表现,,,,,book,,,,,,
145,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【实验室检查】,,,亚急性甲状腺炎的实验室检查,,,,,book,,,,,,
146,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【诊断】,,,亚急性甲状腺炎的诊断,,,,,book,,,,,,
147,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第一节  亚急性甲状腺炎,【治疗】,,,亚急性甲状腺炎的治疗方法,,,,,book,,,,,,
148,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,,,,自身免疫性甲状腺炎的概述,,,,,book,,,,,,
149,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【病因】,,,自身免疫性甲状腺炎的病因,,,,,book,,,,,,
150,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【病理】,,,自身免疫性甲状腺炎的病理,,,,,book,,,,,,
151,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【临床表现】,,,自身免疫性甲状腺炎的临床表现,,,,,book,,,,,,
152,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【实验室检查】,,,自身免疫性甲状腺炎的实验室检查,,,,,book,,,,,,
153,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【诊断】,,,自身免疫性甲状腺炎的诊断,,,,,book,,,,,,
154,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第二节  自身免疫性甲状腺炎,【治疗】,,,自身免疫性甲状腺炎的治疗方法,,,,,book,,,,,,
155,第七篇  内分泌和代谢性疾病,第十二章  甲状腺炎,第三节  无痛性甲状腺炎,,,,无痛性甲状腺炎,,,,,book,,,,,,
