index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
19,附录,附录2  中华口腔医学会新近通过的定义与指南,附录2.5  口腔扁平苔藓诊疗指南（试行）,六、治疗,（三）治疗方案,,口腔扁平苔藓的治疗,口腔扁平苔藓的治疗方案,"SP
","PO
",6,quark.book,,,,,,
20,第六十四章   手外伤,第二节   手部皮肤损伤,,,,,手部皮肤损伤的概述,手部皮肤损伤的概述,"S
","S
",6,quark.book,,,,,,
21,第十三章给药,第三节 注射给药法,三、常用注射法,,,,注射给药法,常用注射法,"S
","S
",6,quark.book,,,,,,
22,第五十三章  泌尿生殖系统结核,第二节  泌尿系结核,,,,,泌尿系结核的概述,泌尿系结核的概述,"S
","S
",6,quark.book,,,,,,
23,第五章  医疗人际关系伦理,第二节  医际关系,一、医际关系的概念及特点,（一）医际关系的概念,,,医际关系的概念及特点,医际关系的概念,"SP
","PO
",6,quark.book,,,,,,
24,第二篇  医学原虫学,第十一章  孢子虫,第四节  其他孢子虫,五、巴贝虫,,,其他孢子虫,巴贝虫,"S
","S
",6,quark.book,,,,,,
25,第十二章 中枢神经系统感染性疾病,第六节 螺旋体感染性疾病,一、神经梅毒,,,,螺旋体感染性疾病的概述,神经梅毒的概述,"S
","S
",6,quark.book,,,,,,
26,第五章  免疫性疾病,第一节  自身免疫病,二、自身免疫病的类型,（五）系统性硬化,,,自身免疫病的类型,系统性硬化,"SP
","PO
",6,quark.book,,,,,,
27,第二十一章危重症患儿的护理,第七节 心跳呼吸骤停,,,,,危重症患儿心跳呼吸骤停的护理,危重症患儿心跳呼吸骤停的护理,SP,S,6,quark.book,,,,,,
28,第三篇  鼻科学,第十一章  儿童和婴幼儿鼻腔、鼻窦炎症性疾病,第一节  儿童鼻炎,【病理】,,,儿童鼻炎的概述,儿童鼻炎的病理,"SP
","PO
",6,quark.book,,,,,,
29,第三章  立克次体病,第二节  恙虫病,【预防】,（三）保护易感人群,,,恙虫病的预防,恙虫病的预防之保护易感人群,S,"PO
",6,quark.book,,,,,,
30,第十章  传染病流行病学,第五节  传染病的预防和控制,一、防制策略,（四）传染病的全球化控制,,,传染病的防制策略,传染病的全球化控制,"SP
","PO
",6,quark.book,,,,,,
31,第二篇  耳科学,第六章  外耳疾病,第二节  耳廓化脓性软骨膜炎,【治疗】,,,耳廓化脓性软骨膜炎的概述,耳廓化脓性软骨膜炎的治疗方法,"SP
","PO
",6,quark.book,,,,,,
32,第二章  口腔颌面外科基础知识与基本操作,第一节  口腔颌面外科病史记录,二、入院记录,（二）病史,,,口腔颌面外科病史记录之入院记录,口腔颌面外科病史记录之入院记录之病史,S,S,6,quark.book,,,,,,
33,第三章儿童保健,第二节 儿童游戏,二、不同年龄阶段游戏的特点,,,,儿童游戏,不同年龄阶段的儿童游戏的特点,SP,"S
",6,quark.book,,,,,,
34,第一章  免疫学概论,第二节  免疫学发展简史,一、经验免疫学时期,,,,免疫学发展简史,免疫学发展简史之经验免疫学时期,S,S,6,quark.book,,,,,,
35,第十六章  外科微创技术,第四节  介入放射学技术,,,,,介入放射学技术,介入放射学技术,"S
","S
",6,quark.book,,,,,,
36,第六章 脂代谢紊乱,第二节 高脂蛋白血症,三、对机体的影响,,,,高脂蛋白血症的概述,高脂蛋白血症对机体的影响,"SP
","PO
",6,quark.book,,,,,,
37,第三十七章  结、直肠与肛管疾病,第十二节  痔,,,,,结、直肠与肛管疾病的概述,痔的概述,"S
","S
",6,quark.book,,,,,,
38,第一篇  常见症状,第二十七节  头痛,【病因】,,,,常见症状之头痛,头痛的病因,SP,"S
",6,quark.book,,,,,,
39,第十八章  颅脑损伤,第五节  颅内血肿,一、硬脑膜外血肿,,,,颅内血肿的概述,硬脑膜外血肿的概述,"S
","S
",6,quark.book,,,,,,
40,第二篇  临床篇,第十一章  神经系统,第一节  常用显像方法和原理,三、脑受体显像,（一）多巴胺能神经递质系统显像,,脑受体显像,多巴胺能神经递质系统显像,S,S,6,quark.book,,,,,,
41,内脏学,第九章  女性生殖系统,第一节  女性内生殖器,二、输卵管,（三）壶腹部,,输卵管的概述,输卵管之壶腹部,"S
","S
",6,quark.book,,,,,,
42,第十二章排 泄,第二节 排便护理,四、与排便有关的护理技术,,,,排便护理,与排便有关的护理技术,"SP
","PO
",6,quark.book,,,,,,
43,第二章  生长发育,第七节  发育行为与心理异常,二、儿童期常见的发育与行为问题,,,,生长发育的行为与心理异常,儿童期常见的发育与行为问题,"SP
","S
",6,quark.book,,,,,,
44,第三十八章  抗骨质疏松药,第二节  抗骨质疏松症的药物,一、骨吸收抑制药,阿仑膦酸钠,利塞膦酸钠、伊班膦酸和唑来膦酸,,骨吸收抑制药之阿仑膦酸钠,阿仑膦酸钠之利塞膦酸钠、伊班膦酸和唑来膦酸,"S
","S
",6,quark.book,,,,,,
45,内脏学,第八章  男性生殖系统,第二节  男性外生殖器,一、阴茎,,,男性外生殖器的概述,阴茎的概述,"S
","S
",6,quark.book,,,,,,
46,第七章  内分泌与代谢性疾病病人的护理,第二节  内分泌与代谢性疾病病人常见症状体征的护理,一、身体外形的改变,,,,内分泌与代谢性疾病病人常见症状体征的护理,身体外形的改变,"SP
","PO
",6,quark.book,,,,,,
47,第六章  产前检查与孕期保健,第三节  孕期营养和体重管理,四、体重管理,,,,孕期营养和体重管理,体重管理,"S
","S
",6,quark.book,,,,,,
48,第二章  病毒性传染病,第十三节  艾滋病,【治疗】,（一）高效抗反转录病毒治疗（highly active anti-retroviral therapy，HAART）,,,艾滋病的治疗方法,艾滋病的治疗：高效抗反转录病毒治疗,SPO,"PO
",6,quark.book,,,,,,
49,第二章  病毒性传染病,第十三节  艾滋病,【治疗】,（一）高效抗反转录病毒治疗（highly active anti-retroviral therapy，HAART）,,,艾滋病的治疗方法,艾滋病的高效抗反转录病毒治疗,"SP
","PO
",6,quark.book,,,,,,
50,第四篇  咽科学,第一章  咽的应用解剖学及生理学,第一节  咽的应用解剖学,三、咽的淋巴组织,（二）腭扁桃体,,咽的应用解剖学：咽的淋巴组织,咽的应用解剖学：腭扁桃体,"S
","S
",6,quark.book,,,,,,
51,第一篇  常见症状,第七节  呼吸困难,【发生机制及临床表现】,,,,呼吸困难的概述,呼吸困难的发生机制及临床表现,SP,"PO
",6,quark.book,,,,,,
52,第一部分  医学遗传学基础,第六章  群体遗传,第一节  群体的遗传平衡,二、Hardy-Weinberg定律的应用,（二）基因频率的计算,,Hardy-Weinberg定律的应用,Hardy-Weinberg定律的应用：基因频率的计算,S,"PO
",6,quark.book,,,,,,
53,第四章  牙列缺损的固定局部义齿修复,第三节  固定局部义齿的设计,六、不同类型牙列缺损的固定桥设计,（一）单个牙缺失,,,不同类型牙列缺损的固定桥设计,单个牙缺失的固定桥设计,SP,S,6,quark.book,,,,,,
54,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【治疗】,（九）抗休克治疗,急性ST段抬高型心肌梗死的治疗,急性ST段抬高型心肌梗死的抗休克治疗,SP,"PO
",6,quark.book,,,,,,
55,第十四章  肿瘤,第一节  概论,二、实体肿瘤的常用治疗方法,,,,肿瘤的概述,实体肿瘤的常用治疗方法,"SP
","PO
",6,quark.book,,,,,,
56,第四篇  咽科学,第八章  咽神经性疾病和感觉异常,第一节  运动性障碍,二、咽缩肌瘫痪,【诊断】,,运动性障碍之咽缩肌瘫痪,咽缩肌瘫痪的诊断,"SP
","PO
",6,quark.book,,,,,,
57,第四篇  实验诊断,第八章  临床常用免疫学检测,第一节  体液免疫检测,一、免疫球蛋白,（二）免疫球蛋白A,,免疫球蛋白的概述,免疫球蛋白A的概述,"S
",S,6,quark.book,,,,,,
58,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【治疗】,（二）肺、心功能失代偿期,,慢性肺源性心脏病的治疗方法,肺、心功能失代偿期慢性肺源性心脏病的治疗,"SP
",S,6,quark.book,,,,,,
59,运动系统,第二章  关节学,第三节  附肢骨的连结,一、上肢骨的连结,（一）上肢带连结,,上肢骨的连结,上肢带连结,S,S,6,quark.book,,,,,,
60,第三章 眼科检查,第二节 视功能检查,一、视力,（一）视力表（vision chart）的设计及种类,,,视功能检查：视力,视力表（vision chart）的设计及种类,SP,"PO
",6,quark.book,,,,,,
61,第一篇  影像诊断学,第四章  呼吸系统,第四节  疾病诊断,八、胸膜病变,（二）胸膜肿瘤,,胸膜病变的疾病诊断,胸膜肿瘤的疾病诊断,"SP
",S,6,quark.book,,,,,,
62,第四篇  实验诊断,第九章  临床常见病原体检测,第二节  病原体耐药性检测,一、耐药性及其发生机制,（一）耐药病原体,,病原体耐药性及其发生机制,耐药病原体的耐药性及其发生机制,"SP
",S,6,quark.book,,,,,,
63,第三十六章  甲状腺激素及抗甲状腺药,第二节  抗甲状腺药,一、硫脲类,,,,抗甲状腺药,硫脲类抗甲状腺药,"S
","S
",6,quark.book,,,,,,
64,第二十七章  调血脂药与抗动脉粥样硬化药,第一节  调血脂药,二、主要降低TG及VLDL的药物,（一）贝特类,,,主要降低TG及VLDL的药物,主要降低TG及VLDL的药物：贝特类,S,S,6,quark.book,,,,,,
65,第五篇  喉科学,第十二章  气管插管术及气管切开术,第二节  气管切开术,【手术方法】,,,气管切开术的概述,气管切开术的手术方法,SP,"PO
",6,quark.book,,,,,,
66,第二章  呼吸系统疾病病人的护理,第十节  慢性肺源性心脏病,【临床表现】,（二）肺、心功能失代偿期,,,慢性肺源性心脏病的临床表现,肺、心功能失代偿期慢性肺源性心脏病的临床表现,"SP
",S,6,quark.book,,,,,,
67,第四章  细菌性传染病,第一节  伤寒与副伤寒,一、伤寒,【发病机制与病理】,,,伤寒的概述,伤寒的发病机制与病理,SP,"PO
",6,quark.book,,,,,,
68,第七章  种植义齿,第二节  种植义齿分类,一、按固位方式分类,（一）固定式种植义齿（implant supported fixed partial denture）,,,种植义齿按固位方式分类,固定式种植义齿,"S
","PO
",6,quark.book,,,,,,
69,第十一章 强迫及相关障碍,第一节 强迫症,二、临床表现,,,,强迫症的概述,强迫症的临床表现,SP,"PO
",6,quark.book,,,,,,
70,第二章  病毒性传染病,第三节  流行性感冒病毒感染,四、人感染H7N9禽流感,【预防】,（三）保护易感人群,,人感染H7N9禽流感的预防,人感染H7N9禽流感的预防：保护易感人群,"SPO
","PO
",6,quark.book,,,,,,
71,第五章  心理评估,第二节  智力测验,一、智力、智商和智力水平的分级,（三）智力水平的分级,,,智力、智商和智力水平的分级,智力水平的分级,SP,"S
",6,quark.book,,,,,,
72,第一部分  医学遗传学基础,第六章  群体遗传,第一节  群体的遗传平衡,一、Hardy-Weinberg平衡定律,,,群体之遗传平衡,群体的遗传平衡：Hardy-Weinberg平衡定律,S,"S
",6,quark.book,,,,,,
73,第二篇  呼吸系统疾病,第十章  肺血栓栓塞症,【治疗方案及原则】,（二）抗凝治疗,,,肺血栓栓塞症的治疗方案及原则,肺血栓栓塞症的抗凝治疗,SP,"PO
",6,quark.book,,,,,,
74,第三篇  鼻科学,第十七章  鼻腔鼻窦肿瘤,第三节  恶性肿瘤,一、鼻腔鼻窦恶性肿瘤,【临床表现】,,鼻腔鼻窦恶性肿瘤的概述,鼻腔鼻窦恶性肿瘤的临床表现,"SP
","PO
",6,quark.book,,,,,,
75,第一章  免疫学概论,第三节  免疫学发展的趋势,（二）临床免疫学,,,,免疫学发展的趋势,免疫学发展的趋势之临床免疫学,S,"PO
",6,quark.book,,,,,,
76,运动系统,第一章  骨学,第二节  中轴骨,二、颅骨,（二）面颅骨,,颅骨,面颅骨,"S
","S
",6,quark.book,,,,,,
77,下篇  各论,第十六章  祛湿剂,第二节  清热祛湿剂,茵陈蒿汤,,,清热祛湿剂,茵陈蒿汤,S,"S
",6,quark.book,,,,,,
78,脉管系统,第十一章  心血管系统,第三节  动脉,二、体循环的动脉,（四）腹主动脉,,体循环的动脉,体循环的腹主动脉,"SP
","S
",6,quark.book,,,,,,
79,第七章 缺氧,第一节 常用的血氧指标,四、血红蛋白氧饱和度,,,,常用的血氧指标,血红蛋白氧饱和度,S,S,6,quark.book,,,,,,
80,第五十二章  泌尿、男性生殖系统感染,第四节  男性生殖系统感染,一、前列腺炎,,,,男性生殖系统感染,前列腺炎的概述,S,"S
",6,quark.book,,,,,,
81,第二篇  皮肤性病学各论,第十九章  红斑丘疹鳞屑性皮肤病,第四节  扁平苔藓,【病因和发病机制】,,,扁平苔藓的概述,扁平苔藓的病因和发病机制,SP,"PO
",6,quark.book,,,,,,
82,第八章  蠕虫病,第三节  线虫病,三、蛲虫病,【病原学】,,,线虫病的概述,线虫病的病原学,SP,"PO
",6,quark.book,,,,,,
83,第七章 证据综合与GRADE系统,第二节 GRADE系统,一、GRADE证据分级评价系统,,,,GRADE系统的概述,GRADE证据分级评价系统,S,S,6,quark.book,,,,,,
84,第十六章  心肺脑复苏,第三节  高级心血管生命支持,一、人工气道与机械通气,（二）机械通气,,,高级心血管生命支持：人工气道与机械通气,高级心血管生命支持：机械通气,"SPO
","S
",6,quark.book,,,,,,
85,第四篇  实验诊断,第七章  临床常用生物化学检测,第五节  心肌酶和心肌蛋白检测,一、心肌酶检测,（二）肌酸激酶同工酶测定,,心肌酶检测,肌酸激酶同工酶测定,SP,"S
",6,quark.book,,,,,,
86,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,四、肺真菌病,（四）肺孢子菌肺炎,,肺真菌病的概述,肺孢子菌肺炎,S,"S
",6,quark.book,,,,,,
87,第二篇  耳科学,第十章  耳源性眩晕,第二节  梅尼埃病,【病因】,,,梅尼埃病的概述,梅尼埃病的病因,SP,"PO
",6,quark.book,,,,,,
88,第八章  蠕虫病,第三节  线虫病,三、蛲虫病,【治疗】,（一）内服药,,线虫病的治疗方法,线虫病的的治疗：内服药,"SPO
","PO
",6,quark.book,,,,,,
89,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,一、不稳定型心绞痛和非ST段抬高型心肌梗死,【治疗】,（三）药物治疗,急性冠状动脉综合征的治疗,急性冠状动脉综合征的药物治疗,SP,"PO
",6,quark.book,,,,,,
90,第十一章  环境及理化因素损伤,第五节  烧烫伤,一、临床特点,（三）烧伤伤情分类,,,烧烫伤的临床特点,烧伤伤情分类,SP,"PO
",6,quark.book,,,,,,
91,第三十四章  妇产科常用特殊检查,第六节  女性生殖器活组织检查,一、活组织检查,（三）子宫颈活组织检查,【方法】,,子宫颈活组织检查,子宫颈活组织检查的方法,SP,"PO
",6,quark.book,,,,,,
92,第十五章  药物流行病学,第一节  概述,一、药物流行病学的产生和定义,（二）药物流行病学的产生,,,药物流行病学的产生和定义,药物流行病学的产生,"SP
","S
",6,quark.book,,,,,,
93,第五章 神经系统疾病的辅助检查,第二节 神经系统影像学检查,四、磁共振成像,,,,神经系统影像学检查,神经系统影像学检查：磁共振成像,"SPO
","PO
",6,quark.book,,,,,,
94,第三篇  体格检查,第三章  头部检查,第三节  颜面及其器官,一、眼,（一）眼的功能检查,,体格检查：眼,眼的功能检查,"SP
","PO
",6,quark.book,,,,,,
95,第一章  细胞和组织的适应与损伤,第一节  适应,二、肥大,（一）肥大的类型,,,细胞和组织的适应：肥大,细胞和组织的适应：肥大的类型,"SP
","PO
",6,quark.book,,,,,,
96,第六篇  血液系统疾病,第五章  再生障碍性贫血,【治疗】,（二）针对发病机制的治疗,,,再生障碍性贫血的治疗方法,再生障碍性贫血针对发病机制的治疗,"SP
","PO
",6,quark.book,,,,,,
97,第三篇  循环系统疾病,第二章  心力衰竭,第一节  心力衰竭总论,【类型】,（一）左心衰竭、右心衰竭和全心衰竭,,心力衰竭的类型,心力衰竭的类型：左心衰竭、右心衰竭和全心衰竭的概述,"SPO
","PO
",6,quark.book,,,,,,
98,第十三章  心理干预备论,第十二节  临床心理会诊服务,二、方法,（二）综合治疗策略,,,临床心理会诊服务的方法,临床心理会诊服务的方法：综合治疗策略,"SPO
","PO
",6,quark.book,,,,,,
99,第十七章  睡眠呼吸障碍疾病,第二节  睡眠呼吸障碍的非手术治疗,二、口腔矫治器治疗,（五）疗效及随访,,,口腔矫治器治疗,口腔矫治器治疗之疗效及随访,SP,"PO
",6,quark.book,,,,,,
100,第十一章  死亡伦理,第一节  死亡诊断标准伦理,二、死亡诊断的标准,（二）脑死亡标准,,,死亡诊断的标准,脑死亡标准,"SP
",S,6,quark.book,,,,,,
101,第七篇  内分泌和代谢性疾病,第二十九章  性发育异常疾病,第一节  染色体性别异常疾病,一、Klinefelter综合征,【临床表现】,,Klinefelter综合征的概述,Klinefelter综合征的临床表现,SP,"PO
",6,quark.book,,,,,,
102,第三十四章  妇产科常用特殊检查,第六节  女性生殖器活组织检查,一、活组织检查,（一）外阴活组织检查,【方法】,,外阴活组织检查,外阴活组织检查的方法,SP,"PO
",6,quark.book,,,,,,
103,第三篇  循环系统疾病,第七章  先天性心血管病,第一节  成人常见先天性心血管病,九、主动脉窦瘤,【病理解剖】,,主动脉窦瘤的概述,主动脉窦瘤的病理解剖,"SP
","PO
",6,quark.book,,,,,,
104,第四篇  实验诊断,第八章  临床常用免疫学检测,第一节  体液免疫检测,一、免疫球蛋白,（二）免疫球蛋白A,,免疫球蛋白的概述,免疫球蛋白A的概述,"S
",S,6,quark.book,,,,,,
105,第一篇  绪论,一、内科学概况,（一）人类医学发展历程,,,,内科学的概况,人类医学发展历程,S,S,7,book,,,,,,
106,第一篇  绪论,一、内科学概况,（二）现代内科学的演变,,,,内科学的概况,现代内科学的演变,S,S,7,book,,,,,,
107,第一篇  绪论,一、内科学概况,（三）21世纪内科学的机遇和挑战,,,,内科学的概况,21世纪内科学的机遇和挑战,S,S,7,book,,,,,,
108,第一篇  绪论,二、如何学习内科学,（一）如何学好内科学,,,,如何学习内科学,如何学好内科学,S,"PO
",7,book,,,,,,
109,第一篇  绪论,二、如何学习内科学,（二）培养优秀医生的基本素质,,,,如何学习内科学,培养优秀医生的基本素质,S,"PO
",7,book,,,,,,
110,第二篇  呼吸系统疾病,第二章  急性上呼吸道感染和急性气管-支气管炎,第一节  急性上呼吸道感染,[附]流行性感冒,【临床表现】,,流行性感冒,流行性感冒的临床表现,"SP
","PO
",7,book,,,,,,
111,第二篇  呼吸系统疾病,第二章  急性上呼吸道感染和急性气管-支气管炎,第一节  急性上呼吸道感染,[附]流行性感冒,【治疗】,,流行性感冒,流行性感冒的治疗方法,"SP
","PO
",7,book,,,,,,
112,第二篇  呼吸系统疾病,第二章  急性上呼吸道感染和急性气管-支气管炎,第二节  急性气管-支气管炎,,,,急性上呼吸道感染和急性气管-支气管炎,急性气管-支气管炎,"S
","S
",7,book,,,,,,
113,第二篇  呼吸系统疾病,第二章  急性上呼吸道感染和急性气管-支气管炎,第二节  急性气管-支气管炎,【临床表现】,,,急性气管-支气管炎,急性气管-支气管炎的临床表现,SP,"PO
",7,book,,,,,,
114,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第一节  慢性支气管炎,,,,慢性支气管炎、慢性阻塞性肺疾病,慢性支气管炎,"S
","S
",7,book,,,,,,
115,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第一节  慢性支气管炎,【治疗】,（一）急性加重期的治疗,,慢性支气管炎的治疗方法,急性加重期慢性支气管炎的治疗,"SP
",S,7,book,,,,,,
116,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第一节  慢性支气管炎,【治疗】,（二）缓解期治疗,,慢性支气管炎的治疗方法,缓解期慢性支气管炎的治疗,"SP
",S,7,book,,,,,,
117,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第二节  慢性阻塞性肺疾病,,,,慢性支气管炎、慢性阻塞性肺疾病,慢性阻塞性肺疾病,"S
","S
",7,book,,,,,,
118,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第二节  慢性阻塞性肺疾病,【并发症】,,,慢性阻塞性肺疾病的概述,慢性阻塞性肺疾病的并发症,"SP
","PO
",7,book,,,,,,
119,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第二节  慢性阻塞性肺疾病,【治疗】,（一）稳定期的治疗,,慢性阻塞性肺疾病的治疗方法,稳定期慢性阻塞性肺疾病的治疗,"SP
",S,7,book,,,,,,
120,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第二节  慢性阻塞性肺疾病,【治疗】,（二）急性加重期治疗,,慢性阻塞性肺疾病的治疗方法,急性加重期慢性阻塞性肺疾病的治疗,"SP
","S
",7,book,,,,,,
121,第二篇  呼吸系统疾病,第三章  慢性支气管炎、慢性阻塞性肺疾病,第二节  慢性阻塞性肺疾病,【治疗】,（三）外科治疗,,慢性阻塞性肺疾病的治疗方法,慢性阻塞性肺疾病的外科治疗,"SP
","PO
",7,book,,,,,,
122,第二篇  呼吸系统疾病,第四章  支气管哮喘,【治疗】,（一）确定并减少危险因素接触,,,支气管哮喘的治疗方法,支气管哮喘的治疗：确定并减少危险因素接触,"SPO
","PO
",7,book,,,,,,
123,第二篇  呼吸系统疾病,第四章  支气管哮喘,【治疗】,（二）药物治疗,,,支气管哮喘的治疗方法,支气管哮喘的药物治疗,"SP
","PO
",7,book,,,,,,
124,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第一节  肺炎概述,【分类】,（一）解剖分类,,肺炎的分类,肺炎的解剖分类,SP,"PO
",7,book,,,,,,
125,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第一节  肺炎概述,【分类】,（二）病因分类,,肺炎的分类,肺炎的病因分类,SP,"PO
",7,book,,,,,,
126,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第一节  肺炎概述,【治疗】,,,肺炎的概述,肺炎的治疗方法,"SP
","PO
",7,book,,,,,,
127,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第二节  细菌性肺炎,一、肺炎链球菌肺炎,【病因和发病机制】,,肺炎链球菌肺炎的概述,肺炎链球菌肺炎的病因和发病机制,SP,"PO
",7,book,,,,,,
128,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第二节  细菌性肺炎,一、肺炎链球菌肺炎,【并发症】,,肺炎链球菌肺炎的概述,肺炎链球菌肺炎的并发症,SP,"PO
",7,book,,,,,,
129,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第二节  细菌性肺炎,二、葡萄球菌肺炎,【病理】,,葡萄球菌肺炎的概述,葡萄球菌肺炎的病理,SP,"PO
",7,book,,,,,,
130,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第二节  细菌性肺炎,二、葡萄球菌肺炎,【临床表现】,,葡萄球菌肺炎的概述,葡萄球菌肺炎的临床表现,SP,"PO
",7,book,,,,,,
131,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第二节  细菌性肺炎,二、葡萄球菌肺炎,【治疗】,,葡萄球菌肺炎的概述,葡萄球菌肺炎的治疗方法,"SP
","PO
",7,book,,,,,,
132,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,一、肺炎支原体肺炎,,,其他病原体所致肺部感染,肺炎支原体肺炎的概述,S,"S
",7,book,,,,,,
133,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,一、肺炎支原体肺炎,【病因和发病机制】,,肺炎支原体肺炎的概述,肺炎支原体肺炎的病因和发病机制,SP,"PO
",7,book,,,,,,
134,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,三、病毒性肺炎,【病因和发病机制】,,病毒性肺炎,病毒性肺炎的病因和发病机制,"SP
","PO
",7,book,,,,,,
135,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,四、肺真菌病,（一）肺念珠菌病,,肺真菌病的概述,肺念珠菌病的概述,"S
",S,7,book,,,,,,
136,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,四、肺真菌病,（二）肺曲霉病,,肺真菌病的概述,肺曲霉病,"S
",S,7,book,,,,,,
