index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
10,第二十章   解热镇痛抗炎药,第二节  非选择性环氧化酶抑制药,五、芳基丙酸类,,,,非选择性环氧化酶抑制药的概述,非选择性环氧化酶抑制药之芳基丙酸类,S,S,8,quark.book,,,,,,
11,第十二章  泌尿系统疾病,第五节  泌尿道感染,【附】膀胱输尿管反流和反流性肾病,【预后】,,,膀胱输尿管反流和反流性肾病的概述,膀胱输尿管反流和反流性肾病的预后,SP,"PO
",8,quark.book,,,,,,
12,第五章 神经认知障碍及相关疾病,第一节 概述,三、痴呆（重度认知功能障碍）,,,,神经认知障碍及相关疾病的概述,痴呆的概述,S,"S
",8,quark.book,,,,,,
13,第二篇  临床篇,第十二章  骨骼系统,第三节  骨密度的测定,二、影响因素和诊断标准,（二）诊断标准,,骨密度的测定的影响因素和诊断标准,骨密度的测定的诊断标准,SP,"PO
",8,quark.book,,,,,,
14,第三篇  体格检查,第六章  腹部检查,第六节  腹部常见疾病的主要症状和体征,五、肠梗阻,【体征】,,肠梗阻的主要症状和体征,肠梗阻的体征,"SP
","PO
",8,quark.book,,,,,,
15,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,一、不稳定型心绞痛和非ST段抬高型心肌梗死,【治疗】,（三）药物治疗,急性冠状动脉综合征的治疗方法,急性冠状动脉综合征的药物治疗,"SP
","PO
",8,quark.book,,,,,,
16,第七章  抗胆碱酯酶药和胆碱酯酶复活药,第三节  胆碱酯酶复活药,氯解磷定,,,,胆碱酯酶复活药,胆碱酯酶复活药之氯解磷定,S,S,8,quark.book,,,,,,
17,第三篇  体格检查,第九章  神经系统检查,第一节  脑神经检查,（三）动眼神经、滑车神经、展神经,,,脑神经检查,动眼神经、滑车神经、展神经的检查,"SP
",S,8,quark.book,,,,,,
18,第二章  临床接诊,第三节  临床检查,四、咀嚼功能检查,,,,临床检查,咀嚼功能检查,"SP
",S,8,quark.book,,,,,,
19,第十二章  泌尿系统疾病,第四节  肾病综合征,【附2】IgA肾病,【治疗】,,,IgA肾病的概述,IgA肾病的治疗,"SP
","PO
",8,quark.book,,,,,,
20,第三篇  体格检查,第三章  头部检查,第三节  颜面及其器官,一、眼,（一）眼的功能检查,,眼的检查,眼的功能检查,"SP
","PO
",8,quark.book,,,,,,
21,病情观察及危重症病人的管理,第三节 常用急救技术,二、洗胃法,,,,常用急救技术,常用急救技术：洗胃法,"SPO
","PO
",8,quark.book,,,,,,
22,第十一章  慢性非传染性疾病流行病学,第三节  主要危险因素,三、不合理膳食,（三）食品污染,,,慢性非传染性疾病流行病学的主要危险因素：不合理膳食,慢性非传染性疾病流行病学的主要危险因素：食品污染,"SPO
","PO
",8,quark.book,,,,,,
23,第十二章  前沿医学技术伦理,第二节  人类干细胞研究与应用伦理,一、人类干细胞研究概述,（一）干细胞的概念,,,人类干细胞研究,人类干细胞的概念,S,"S
",8,quark.book,,,,,,
24,第八章  感染性疾病,第二节  细菌感染,二、脓毒性休克,【实验室检查】,,,脓毒性休克的概述,脓毒性休克的实验室检查,"SP
","PO
",8,quark.book,,,,,,
25,第七章  内分泌与代谢性疾病病人的护理,第二节  内分泌与代谢性疾病病人常见症状体征的护理,一、身体外形的改变,【常用护理诊断/问题】,,,内分泌与代谢性疾病病人身体外形的改变,内分泌与代谢性疾病病人身体外形的改变：常用护理诊断/问题,"SPO
","PO
",8,quark.book,,,,,,
26,第八章 角膜病,第二节 角膜炎症,一、角膜炎总论,,,,角膜炎症的概述,角膜炎总论,S,S,8,quark.book,,,,,,
27,运动系统,第二章  关节学,第三节  附肢骨的连结,二、下肢骨的连结,（一）下肢带连结,,下肢骨的连结,下肢带连结,S,S,8,quark.book,,,,,,
28,下篇  各论,第八章  补益剂,第四节  补阴剂,益胃汤,,,补阴剂的概述,补阴剂之益胃汤,S,S,8,quark.book,,,,,,
29,第三十四章  妇产科常用特殊检查,第六节  女性生殖器活组织检查,一、活组织检查,（一）外阴活组织检查,【方法】,,外阴活组织检查,外阴活组织检查的方法,"SP
","PO
",8,quark.book,,,,,,
30,第七章  上肢,第六节  腕和手,二、手掌,（二）深层结构,,,手掌的概述,手掌的深层结构,"SP
","PO
",8,quark.book,,,,,,
31,第三篇  循环系统疾病,第七章  先天性心血管病,第一节  成人常见先天性心血管病,九、主动脉窦瘤,【病理解剖】,,主动脉窦瘤的概述,主动脉窦瘤的病理解剖,"SP
","PO
",8,quark.book,,,,,,
32,第四章  消化系统疾病病人的护理,第二节  消化系统疾病病人常见症状体征的护理,二、腹痛,【护理措施及依据】,,,消化系统疾病病人腹痛的护理,消化系统疾病病人腹痛的护理措施及依据,"SP
","PO
",8,quark.book,,,,,,
33,第十三章泌尿系统疾病患儿的护理,第五节 儿童泌尿系统常见异常,四、护理,,,,儿童泌尿系统常见异常,儿童泌尿系统常见异常的护理,SP,"PO
",8,quark.book,,,,,,
34,第二十三章 心理治疗,第二节 心理治疗的主要理论流派及技术,四、家庭治疗与系统式治疗,,,,心理治疗的主要理论流派及技术,家庭治疗与系统式治疗,"S
","S
",8,quark.book,,,,,,
35,第五章儿童营养,第二节 儿童喂养与膳食安排,一、婴儿喂养,,,,儿童喂养与膳食安排,婴儿喂养,S,"S
",8,quark.book,,,,,,
36,第二篇  呼吸系统疾病,第十三章  睡眠呼吸暂停低通气综合征,【临床表现】,（三）并发症,,,睡眠呼吸暂停低通气综合征的临床表现,睡眠呼吸暂停低通气综合征的并发症,SP,"PO
",8,book,,,,,,
37,第四篇  消化系统疾病,第十五章  肝硬化,【并发症】,（五）门静脉血栓或海绵样变,,,肝硬化的并发症,肝硬化的并发症：门静脉血栓或海绵样变,"SPO
","PO
",8,book,,,,,,
38,第四篇  消化系统疾病,第十五章  肝硬化,【治疗】,（三）肝性脑病（HE）,,,肝硬化的治疗方法,肝性脑病（HE）的治疗方法,"SP
","S
",8,book,,,,,,
39,第六篇  血液系统疾病,第二章  贫血概述,【临床表现】,,,,贫血的概述,贫血的临床表现,"SP
","PO
",8,book,,,,,,
40,第六篇  血液系统疾病,第四章  巨幼细胞贫血,【病因和发病机制】,（一）叶酸代谢及缺乏的原因,,,巨幼细胞贫血的病因和发病机制,巨幼细胞贫血的病因和发病机制：叶酸代谢及缺乏的原因,"SPO
","PO
",8,book,,,,,,
41,第七篇  内分泌和代谢性疾病,第十七章  嗜铬细胞瘤,【临床表现】,（一）心血管系统表现,,,嗜铬细胞瘤的临床表现,嗜铬细胞瘤的临床表现：心血管系统表现,"SPO
","PO
",8,book,,,,,,
42,第七篇  内分泌和代谢性疾病,第二十四章  血脂异常和脂蛋白异常血症,【血脂异常分类】,（二）病因分类,,,血脂异常分类,血脂异常的病因分类,SP,"PO
",8,book,,,,,,
43,第八篇  风湿性疾病,第十三章  骨关节炎,【治疗】,（一）非药物治疗,,,骨关节炎的治疗方法,骨关节炎的非药物治疗,"SP
","PO
",8,book,,,,,,
44,第八篇  风湿性疾病,第十四章  痛风,【临床表现】,（一）无症状期,,,痛风的临床表现,无症状期痛风的临床表现,SP,S,8,book,,,,,,
45,第八篇  风湿性疾病,第十四章  痛风,【临床表现】,（三）痛风石及慢性关节炎期,,,痛风的临床表现,痛风石及慢性关节炎期痛风的临床表现,"SP
",S,8,book,,,,,,
46,第八篇  风湿性疾病,第十四章  痛风,【临床表现】,（四）肾脏,,,痛风的临床表现,痛风的临床表现：肾脏,"SPO
","PO
",8,book,,,,,,
47,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,一、急性有机磷杀虫药中毒,,,农药中毒的概述,急性有机磷杀虫药中毒,S,S,8,book,,,,,,
48,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,一、急性有机磷杀虫药中毒,【病因】,,急性有机磷杀虫药中毒,急性有机磷杀虫药中毒的病因,SP,"PO
",8,book,,,,,,
49,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,一、急性有机磷杀虫药中毒,【中毒机制】,,急性有机磷杀虫药中毒,急性有机磷杀虫药中毒的中毒机制,SP,"PO
",8,book,,,,,,
50,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,一、急性有机磷杀虫药中毒,【临床表现】,（一）急性中毒,急性有机磷杀虫药中毒的临床表现,急性有机磷杀虫药中毒的临床表现：急性中毒,SPO,"PO
",8,book,,,,,,
51,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,一、急性有机磷杀虫药中毒,【临床表现】,（三）中间型综合征,急性有机磷杀虫药中毒的临床表现,急性有机磷杀虫药中毒的临床表现：中间型综合征,"SPO
","PO
",8,book,,,,,,
52,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,二、急性百草枯中毒,【临床表现】,（二）系统损伤,急性百草枯中毒的临床表现,急性百草枯中毒的临床表现：系统损伤,"SPO
","PO
",8,book,,,,,,
53,第九篇  理化因素所致疾病,第二章  中毒,第二节  农药中毒,二、急性百草枯中毒,【临床表现】,（三）临床分型,急性百草枯中毒的临床表现,急性百草枯中毒的临床分型,"SP
","PO
",8,book,,,,,,
54,第九篇  理化因素所致疾病,第二章  中毒,第三节  急性毒品中毒,【治疗】,（一）复苏支持治疗,,急性毒品中毒的治疗方法,急性毒品中毒的复苏支持治疗,"SP
","PO
",8,book,,,,,,
55,第九篇  理化因素所致疾病,第二章  中毒,第三节  急性毒品中毒,【治疗】,（二）清除毒物,,急性毒品中毒的治疗方法,急性毒品中毒的治疗：清除毒物,SPO,"PO
",8,book,,,,,,
56,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【发病机制】,（一）药动学,,镇静催眠药中毒的发病机制,镇静催眠药中毒的发病机制：药动学,"SP
","PO
",8,book,,,,,,
57,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【临床表现】,（一）急性中毒,,镇静催眠药中毒的临床表现,镇静催眠药中毒的临床表现：急性中毒,"SPO
","PO
",8,book,,,,,,
58,第九篇  理化因素所致疾病,第二章  中毒,第六节  急性一氧化碳中毒,【临床表现】,（一）急性中毒,,急性一氧化碳中毒的临床表现,急性一氧化碳中毒的临床表现：急性中毒,"SPO
","PO
",8,book,,,,,,
59,第九篇  理化因素所致疾病,第二章  中毒,第六节  急性一氧化碳中毒,【临床表现】,（二）迟发型神经精神综合征,,急性一氧化碳中毒的临床表现,急性一氧化碳中毒的临床表现：迟发型神经精神综合征,"SPO
","PO
",8,book,,,,,,
60,第九篇  理化因素所致疾病,第二章  中毒,第六节  急性一氧化碳中毒,【治疗】,（二）氧疗,,急性一氧化碳中毒的治疗方法,急性一氧化碳中毒的氧疗,"SP
","PO
",8,book,,,,,,
61,第九篇  理化因素所致疾病,第二章  中毒,第六节  急性一氧化碳中毒,【治疗】,（三）重要器官功能支持,,急性一氧化碳中毒的治疗方法,急性一氧化碳中毒的治疗：重要器官功能支持,"SPO
","PO
",8,book,,,,,,
62,第九篇  理化因素所致疾病,第二章  中毒,第八节  有机溶剂中毒,【中毒表现】,,,有机溶剂中毒的概述,有机溶剂中毒的中毒表现,"SP
","PO
",8,book,,,,,,
63,第九篇  理化因素所致疾病,第二章  中毒,第八节  有机溶剂中毒,【中毒表现】,（二）呼吸道损害,,有机溶剂中毒的中毒表现,有机溶剂中毒的中毒表现：呼吸道损害,"SPO
","PO
",8,book,,,,,,
64,第九篇  理化因素所致疾病,第二章  中毒,第八节  有机溶剂中毒,【中毒表现】,（三）消化道损害,,有机溶剂中毒的中毒表现,有机溶剂中毒的中毒表现：消化道损害,"SPO
","PO
",8,book,,,,,,
65,第九篇  理化因素所致疾病,第二章  中毒,第八节  有机溶剂中毒,【中毒表现】,（六）皮肤损害,,有机溶剂中毒的中毒表现,有机溶剂中毒的中毒表现：皮肤损害,SPO,"PO
",8,book,,,,,,
66,第九篇  理化因素所致疾病,第二章  中毒,第九节  毒蛇咬伤中毒,【治疗】,（二）抗蛇毒血清,,毒蛇咬伤中毒的治疗方法,毒蛇咬伤中毒的治疗：抗蛇毒血清,SPO,"PO
",8,book,,,,,,
67,第九篇  理化因素所致疾病,第三章  中暑,【临床表现】,（三）热射病,,,中暑的临床表现,中暑的临床表现：热射病,"SPO
","PO
",8,book,,,,,,
68,第九篇  理化因素所致疾病,第五章  高原病,【临床表现】,（二）慢性高原病（chronic mountain sickness）,,,高原病的临床表现,慢性高原病的临床表现,"SP
",S,8,book,,,,,,
69,第九篇  理化因素所致疾病,第五章  高原病,【治疗】,（一）急性高原反应,,,高原病的治疗方法,急性高原反应的治疗,SP,"S
",8,book,,,,,,
