index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
14,第十五章 牙体缺损、牙列缺损/缺失的修复,第三节 牙列缺损的可摘局部义齿修复,二、可摘局部义齿的组成,,,,牙列缺损/缺失的修复,"可摘局部义齿的组成
","SP
","PO
",2,quark.book,,,,,,
15,第三篇  循环系统疾病,第十二章  主动脉疾病和周围血管病,第一节  主动脉夹层,【辅助检查】,,,主动脉夹层的概述,"主动脉夹层的辅助检查
","SP
","PO
",2,quark.book,,,,,,
16,第三篇  细胞的社会性,第十章  细胞连接与细胞黏附,第二节  细胞黏附,四、整联蛋白家族,,,细胞连接与细胞黏附的概述,"整联蛋白家族的细胞黏附
","SP
",S,2,quark.book,,,,,,
17,第九篇  理化因素所致疾病,第三章  中暑,【预后】,,,,理化因导致中暑,"中暑的预后
","SP
","PO
",2,quark.book,,,,,,
18,第四章病人入院和出院的护理,第三节 运送病人法,二、平车运送法,,,,运送病人法,"运送病人法之平车运送法
",S,S,2,quark.book,,,,,,
19,第八章  唇舌疾病,第一节  唇炎,六、慢性非特异性唇炎,【疾病管理】,,,慢性非特异性唇炎的概述,"慢性非特异性唇炎的疾病管理
","SP
","PO
",2,quark.book,,,,,,
20,第十章 脑血管病的介入诊疗,第五节 出血性脑血管病的介入治疗,一、脑动脉瘤的介入治疗,,,,出血性脑血管病的介入治疗,"脑动脉瘤的介入治疗
","SP
",S,2,quark.book,,,,,,
21,第十八章  颅脑损伤,第三节  颅骨骨折,二、颅底骨折,,,,颅骨骨折的概述,"颅底骨折的概述
","S
","S
",3,quark.book,,,,,,
22,第六篇  血液系统疾病,第六章  溶血性贫血,第五节  自身免疫性溶血性贫血,二、冷抗体型AIHA,,,自身免疫性溶血性贫血的概述,"冷抗体型AIHA
",S,S,2,quark.book,,,,,,
23,下篇  各论,第二章  泻下剂,第一节  寒下剂,大承气汤,,,寒下剂的概述,"寒下剂的大承气汤
",SP,"PO
",1,quark.book,,,,,,
24,第二篇  呼吸系统疾病,第八章  肺癌,【流行病学】,,,,肺癌的概述,"肺癌的流行病学
","SP
","PO
",2,quark.book,,,,,,
25,第五篇  喉科学,第十二章  气管插管术及气管切开术,第一节  气管插管术,【适应证】,,,气管插管术的概述,"气管插管术的适应证
",SP,"PO
",1,quark.book,,,,,,
26,第三章  病因与病因推断,第二节  病因的分类及研究方法,一、宿主,（五）性格、气质和精神心理状态,,,宿主,"宿主的性格、气质和精神心理状态
",SP,"PO
",1,quark.book,,,,,,
27,第十三章  烧伤、冻伤、蛇咬伤、犬咬伤、虫蛰伤,第二节  电烧伤和化学烧伤,一、电烧伤,,,,电烧伤和化学烧伤的概述,"电烧伤的概述
","SP
",S,2,quark.book,,,,,,
28,第十八章遗传代谢性疾病患儿的护理,第三节 苯丙酮尿症,,,,,苯丙酮尿症的概述,"苯丙酮尿症的概述
","S
","S
",3,quark.book,,,,,,
29,第一篇  细菌学,第四章  细菌的遗传与变异,第三节  基因的转移和重组,三、转导,,,基因的转移和重组,"基因的转导
",SP,"PO
",1,quark.book,,,,,,
30,第六篇  血液系统疾病,第十章  淋巴瘤,,,,,淋巴瘤的概述,"淋巴瘤的概述
","S
","S
",3,quark.book,,,,,,
31,第八篇  风湿性疾病,第九章  原发性血管炎,第二节  大动脉炎,,,,大动脉炎的概述,"大动脉炎的概述
","S
","S
",3,quark.book,,,,,,
32,第七篇  颈科学,第七章  颈部肿块及颈清扫术,第二节  甲状腺及甲状旁腺肿瘤,一、甲状腺腺瘤,,,甲状腺及甲状旁腺肿瘤的概述,"甲状腺腺瘤的概述
",S,S,2,quark.book,,,,,,
33,第二章  呼吸系统疾病病人的护理,第十五节  呼吸衰竭和急性呼吸窘迫综合征,二、急性呼吸窘迫综合征,【治疗要点】,〇知识拓展,俯卧位辅助通气的研究进展,急性呼吸窘迫综合征治疗要点知识拓展,"俯卧位辅助通气的研究进展
","SP
","PO
",2,quark.book,,,,,,
34,第六章患病儿童护理及其家庭支持,第八节 儿童用药特点及护理,,,,,儿童用药特点及护理,"儿童用药特点及护理
",SP,"PO
",1,quark.book,,,,,,
35,第三章  循环系统疾病病人的护理,第七节  冠状动脉粥样硬化性心脏病,【临床分型】,三、急性心肌梗死,【预后】,,急性心肌梗死,"急性心肌梗死的预后
","SP
","PO
",2,quark.book,,,,,,
36,第八章 头痛,第二节 丛集性头痛,,,,,丛集性头痛的概述,"丛集性头痛的概述
","S
","S
",3,quark.book,,,,,,
37,第一篇  皮肤性病学总论,第五章  皮肤性病的辅助检查方法,第三节  实验室诊断方法,（三）性病检查,,,皮肤性病的实验室诊断方法,"性病的实验室诊断方法
","SP
",S,2,quark.book,,,,,,
38,第三章  循环系统疾病病人的护理,第九节  心肌疾病,一、扩张型心肌病,【治疗要点】,,,扩张型心肌病的概述,"扩张型心肌病的治疗要点
","SP
","PO
",2,quark.book,,,,,,
39,第七章  抗胆碱酯酶药和胆碱酯酶复活药,第二节  抗胆碱酯酶药,二、难逆性抗胆碱酯酶药——有机磷酸酯类,,,,抗胆碱酯酶药的概述,难逆性抗胆碱酯酶药——有机磷酸酯类,S,S,2,quark.book,,,,,,
40,第二篇  细胞的结构与功能,第五章  细胞的内膜系统与囊泡转运,第五节  囊泡与囊泡转运,二、囊泡的类型与来源,（一）网格蛋白有被小泡产生于高尔基复合体及细胞膜,,囊泡的类型与来源,网格蛋白有被小泡产生于高尔基复合体及细胞膜,"SPO
","PO
",2,quark.book,,,,,,
41,第十二章  前沿医学技术伦理,第二节  人类干细胞研究与应用伦理,一、人类干细胞研究概述,（一）干细胞的概念,,,人类干细胞研究,"人类干细胞的概念
","SP
",S,2,quark.book,,,,,,
42,第七十八章   骨肿瘤,第六节   其他肿瘤和瘤样病变,六、骨纤维异样增殖症,,,, 其他肿瘤和瘤样病变,骨纤维异样增殖症,S,S,2,quark.book,,,,,,
43,第十一章  系统疾病的口腔表征,第四节  内分泌系统疾病和营养代谢性疾病,四、淀粉样变性,【疾病管理】,,,淀粉样变性的概述,"淀粉样变性的疾病管理
",SP,"PO
",1,quark.book,,,,,,
44,第二十九章  作用于血液及造血系统的药物,第二节  抗血小板药,三、抑制ADP活化血小板的药物,,,,抗血小板药的概述,"抑制ADP活化血小板的药物
",S,S,2,quark.book,,,,,,
45,第三十八章  抗骨质疏松药,第二节  抗骨质疏松症的药物,一、骨吸收抑制药,（三）雌激素类药物,,,骨吸收抑制药,"骨吸收抑制药之雌激素类药物
",S,S,2,quark.book,,,,,,
46,第六章  脊柱区,第四节  临床病例分析,病例6-4,,,,脊柱区的临床病例分析,"脊柱区的病例6-4
","SP
","PO
",2,quark.book,,,,,,
47,第七篇  内分泌和代谢性疾病,第二十二章  糖尿病,第一节  糖尿病,【治疗】,（二）医学营养治疗,,糖尿病的治疗方法,"糖尿病的医学营养治疗
","SP
","PO
",2,quark.book,,,,,,
48,第十二章  疾病监测,第四节  非传染性疾病监测系统,三、伤害监测系统,,,,非传染性疾病监测系统,"非传染性疾病的伤害监测系统
",SP,"PO
",1,quark.book,,,,,,
49,第十七章 错畸形,第二节 错畸形的诊断,二、诊断手段和方法,,,,错畸形的诊断,"错畸形的诊断手段和方法
","SP
","PO
",2,quark.book,,,,,,
50,下篇  各论,第十九章  驱虫剂,,,,,驱虫剂的概述,"驱虫剂的概述
",S,S,2,quark.book,,,,,,
51,第四章  牙列缺损的固定局部义齿修复,第七节  固定局部义齿修复后可能出现的问题及处理,二、牙周支持组织可能出现的问题,（一）龈缘炎、口腔局部黏膜炎,,,牙周支持组织可能出现的问题,"牙周支持组织可能出现的问题有龈缘炎、口腔局部黏膜炎
","SPO
","PO
",2,quark.book,,,,,,
52,第十八章 口腔疾病与全身系统性疾病的关系,第二节 口腔疾病对全身健康的影响,一、龋病,,,,口腔疾病对全身健康的影响,"龋病对全身健康的影响
",SP,"S
",1,quark.book,,,,,,
53,第十六章疼痛病人的护理,第二节 影响疼痛的因素,一、内在因素,,,,影响疼痛的因素,"影响疼痛的内在因素
",SP,"PO
",1,quark.book,,,,,,
54,第五章  呼吸,第一节  肺通气,一、肺通气的原理,（一）肺通气的动力,,,肺通气的原理,"肺通气的动力
","SP
","PO
",2,quark.book,,,,,,
55,第一章绪论,第二节 儿童年龄分期,七、青春期,,,,儿童年龄分期,"儿童年龄分期之青春期
","S
",S,3,quark.book,,,,,,
56,第十三章给药,第五节 药物过敏试验法,一、青霉素过敏试验及过敏反应的处理,,,,药物过敏试验法,"青霉素过敏试验及过敏反应的处理
",S,S,2,quark.book,,,,,,
57,第八章  呕吐与腹泻,第二节  腹泻,二、临床特点,（二）诊断,,,腹泻的临床特点,"腹泻的诊断
","SP
","PO
",2,quark.book,,,,,,
58,第十章  神经系统疾病病人的护理,第五节  脑血管疾病,三、脑梗死,脑血栓形成,【实验室及其他检查】,,脑梗死的临床护理,"脑梗死的实验室及其他检查
","SP
","PO
",2,quark.book,,,,,,
59,第一篇  影像诊断学,第一章  影像诊断学总论,第四节  磁共振成像,,,,影像诊断学总论,"磁共振成像
",S,S,2,quark.book,,,,,,
60,第五章儿童营养,第一节 能量与营养素的需要,二、营养素的需要,,,,能量与营养素的需要,"儿童营养素的需要
","SP
",S,2,quark.book,,,,,,
61,第十七章腹部手术病人的护理,第二节 子宫颈肿瘤,二、子宫颈癌,,,,子宫颈肿瘤的概述,"子宫颈瘤的概述
","S
",S,3,quark.book,,,,,,
62,第二章 眼科学基础,第一节 眼的组织与解剖,一、眼球,（一）眼球壁,,,眼球的组织与解剖,"眼球壁的组织与解剖
",SP,S,3,quark.book,,,,,,
63,第三篇  循环系统疾病,第三章  心律失常,第四节  房室交界区性心律失常,四、房室交界区相关的折返性心动过速,,,房室交界区性心律失常,"房室交界区相关的折返性心动过速
",S,S,2,quark.book,,,,,,
64,绪论,二、人体解剖学的分科,,,,,绪论,"人体解剖学的分科
",SP,"PO
",1,quark.book,,,,,,
65,第九章  口腔修复的数字化技术,第一节  口颌三维数据获取技术,一、按数据获取方式分类,,,,口颌三维数据获取技术,"口颌三维数据按数据获取方式分类
","SP
","PO
",2,quark.book,,,,,,
66,第八章  蠕虫病,第七节  蠕虫蚴移行症,【临床表现】,（一）皮肤蠕虫蚴移行症的主要表现,,,蠕虫蚴移行症的临床表现,"皮肤蠕虫蚴移行症的主要表现
","SP
","PO
",2,quark.book,,,,,,
67,第六章 神经心理学检查,第二节 常用的神经心理学量表及其检查方法,一、认知功能评定,,,,常用的神经心理学量表及其检查方法,"常用的神经心理学量表及其检查方法之认知功能评定
",S,S,2,quark.book,,,,,,
68,第四章  细菌性传染病,第一节  伤寒与副伤寒,一、伤寒,【流行病学】,（四）流行特征,,伤寒的流行病学,"伤寒的流行特征
",SP,"PO
",1,quark.book,,,,,,
69,第二章  口腔黏膜感染性疾病,第五节  深部真菌病,【临床表现】,,,,深部真菌病的概述,"深部真菌病的临床表现
","SP
","PO
",2,quark.book,,,,,,
70,第十七章免疫性疾病患儿的护理,第三节 继发性免疫缺陷病,一、概 述,,,,继发性免疫缺陷病的概述,"继发性免疫缺陷病的概述
","SP
","PO
",4,quark.book,,,,,,
71,第四十一章  胰腺疾病,第四节  胰腺癌和壶腹周围癌,一、胰腺癌,,,,胰腺癌和壶腹周围癌的概述,"胰腺癌
","S
",S,3,quark.book,,,,,,
72,第十八章 肾功能不全,第二节 急性肾衰竭,一、分类和病因,,,,急性肾衰竭的概述,"急性肾衰竭的分类和病因
",SP,"PO
",1,quark.book,,,,,,
73,第四篇  实验诊断,第二章  临床血液学检测,第二节  溶血性贫血的实验室检测,一、溶血性贫血的筛查检测,（五）红细胞寿命测定,,溶血性贫血的筛查检测,"通过红细胞寿命测定筛查检测溶血性贫血
","SPO
","PO
",1,quark.book,,,,,,
74,第三十四章  胃十二指肠疾病,第四节  先天性肥厚性幽门狭窄,,,,,先天性肥厚性幽门狭窄的概述,"先天性肥厚性幽门狭窄的概述
","S
","PO
",3,quark.book,,,,,,
75,第八篇  风湿性疾病,第十三章  骨关节炎,【预后】,,,,骨关节炎,"骨关节炎的预后
","SP
","PO
",5,quark.book,,,,,,
76,第十三章 休克,第一节 病因与分类,一、病因,,,,休克的病因与分类,"休克的病因
",SP,"PO
",1,quark.book,,,,,,
77,第一部分  医学遗传学基础,第六章  群体遗传,第二节  影响遗传平衡的因素,二、突变和选择,,,群体遗传的影响遗传平衡的因素,"突变和选择是影响遗传平衡的因素
","SPO
","PO
",1,quark.book,,,,,,
78,第六十章  手外伤及断肢（指）再植,第三节  显微外科技术,二、显微外科基本手术技术,,,,手外伤及断肢（指）再植的显微外科技术,"手外伤及断肢（指）再植的显微外科基本手术技术
",SP,"PO
",1,quark.book,,,,,,
79,第二章  临床接诊,第三节  临床检查,一、临床一般检查,（二）口腔内部检查,,,临床一般检查,"口腔内部检查的概述
",S,S,1,quark.book,,,,,,
80,第三章 神经系统疾病的常见症状,第四节 痫性发作和晕厥,二、晕厥,,,,痫性发作和晕厥的常见症状,"晕厥的概述
","S
",S,3,quark.book,,,,,,
81,第四篇  实验诊断,第七章  临床常用生物化学检测,第七节  内分泌激素检测,五、性腺激素检测,（三）血浆孕酮测定,,性腺激素检测,"血浆孕酮测定
",SP,S,1,quark.book,,,,,,
82,第四篇  消化系统疾病,第十九章  胆道系统肿瘤,第二节  胆囊癌,【临床表现】,,,胆道系统肿瘤的概述,"胆道系统肿瘤的临床表现
","SP
","PO
",4,quark.book,,,,,,
83,第十二章  口腔黏膜色素异常,第一节  内源性色素沉着异常,三、胆红素沉着症,,,,内源性色素沉着异常的概述,"胆红素沉着症的概述
",SP,S,1,quark.book,,,,,,
84,第二十二章 睡眠障碍,第二节 发作性睡病,,,,,睡眠障碍的概述,"发作性睡病的概述
","S
",S,1,quark.book,,,,,,
85,第一章  免疫学概论,第三节  免疫学发展的趋势,（二）临床免疫学,,,,免疫学发展的趋势,临床免疫学的概述,S,"PO
",1,quark.book,,,,,,
86,第六章  消化和吸收,第一节  消化生理概述,二、消化腺的分泌功能,,,,消化生理概述,"消化腺的分泌功能
",SP,"PO
",1,quark.book,,,,,,
87,第十章冷、热疗法,第二节 冷、热疗法的应用,一、冷疗法,,,,冷、热疗法的应用,"冷疗法的应用
",SP,S,1,quark.book,,,,,,
88,第三篇  循环系统疾病,第五章  高血压,第一节  原发性高血压,【特殊类型高血压】,（一）老年高血压,,特殊类型的原发性高血压,"老年原发性高血压
",S,S,1,quark.book,,,,,,
89,第十一章  消化系统疾病,第三节  消化性溃疡病,（一）病因和发病机制,,,,消化性溃疡病的概述,"消化性溃疡病的病因和发病机制
","SP
","PO
",4,quark.book,,,,,,
90,第十七章腹部手术病人的护理,第四节 子宫内膜癌,,,,,"子宫内膜癌病人的护理
","子宫内膜癌病人的护理
",SP,S,1,quark.book,,,,,,
91,第十章  胎儿异常与多胎妊娠,第五节  死胎,【临床表现及诊断】,,,,死胎,"死胎的临床表现及诊断
","SP
","PO
",4,quark.book,,,,,,
92,第一篇  常见症状,第二十七节  头痛,【病因】,,,,头痛的常见症状,"头痛的病因
",S,"PO
",1,quark.book,,,,,,
93,第七章  免疫性疾病,第六节  幼年特发性关节炎,【JIA的分类及临床表现】,,,,幼年特发性关节炎的概述,"JIA的分类及临床表现
",SP,"PO
",1,quark.book,,,,,,
94,上篇  总论,第六章  方剂的组方原则与变化,二、方剂的变化,,,,方剂的组方原则与变化,"方剂的变化
",SP,"PO
",1,quark.book,,,,,,
95,第十二章 葡萄膜疾病,第一节 葡萄膜炎,二、前葡萄膜炎,（四）慢性前葡萄膜炎,,,前葡萄膜炎的概述,"慢性前葡萄膜炎的概述
","S
",S,3,quark.book,,,,,,
96,下篇  各论,第一章  解表剂,第三节  扶正解表剂,再造散,,,扶正解表剂的概述,"扶正解表剂的再造散
",SP,"PO
",1,quark.book,,,,,,
97,第二篇  皮肤性病学各论,第二十九章  性传播疾病,第四节  生殖道衣原体感染,【病因和发病机制】,,,生殖道衣原体感染,"生殖道衣原体感染的病因和发病机制
",SP,"PO
",1,quark.book,,,,,,
98,第二章  疾病的分布,第一节  研究疾病分布常用的测量指标,二、发病指标,（四）感染率,,,研究疾病分布常用的测量指标有发病指标,"研究疾病分布常用的测量指标有感染率
","SPO
","PO
",1,quark.book,,,,,,
99,第十七章  感染性疾病,第二节  结核病,一、概述,（一）病因和发病机制,,,结核病的概述,"结核病的病因和发病机制
",SP,"PO
",1,quark.book,,,,,,
100,附录  临床病例分析问题答案,第二章  颈部,病例2-1,,,,颈部的概述,"颈部的病例2-1
",SP,"PO
",1,quark.book,,,,,,
101,第七十一章  骨肿瘤,第三节  骨巨细胞瘤,,,,,骨巨细胞瘤的概述,"骨巨细胞瘤的概述
","S
","PO
",3,quark.book,,,,,,
102,第八章 抑郁障碍,第六节 治疗,一、治疗原则,,,,抑郁障碍的治疗,"抑郁障碍的治疗原则
",SP,"PO
",1,quark.book,,,,,,
103,第八章新生儿及新生儿疾病患儿的护理,第一节 新生儿分类,,,,,新生儿分类,"新生儿分类
",SP,"PO
",1,quark.book,,,,,,
104,第十章 细胞信号转导异常与疾病,第一节 概述,一、细胞信号转导过程,,,,细胞信号转导异常与疾病的概述,"细胞信号转导过程的概述
",S,"PO
",1,quark.book,,,,,,
105,第九章 脑血管疾病,第九节 遗传性脑血管病,"三、	Fabry病",,,,遗传性脑血管病的概述,"Fabry病的概述
","S
",S,3,quark.book,,,,,,
106,第五章  牙列缺损的可摘局部义齿修复,第七节  可摘局部义齿的制作工艺,一、铸造支架的制作,（十一）整铸支架的铸造缺陷及对策,,,牙列缺损的铸造支架的制作工艺,"牙列缺损的整铸支架的铸造缺陷及对策
",SP,"PO
",1,quark.book,,,,,,
107,第九章  妊娠合并内外科疾病,第四节  TORCH综合征,【处理】,,,,TORCH综合征的概述,"TORCH综合征的处理
",SP,"PO
",1,quark.book,,,,,,
108,第四章妊娠期妇女的护理,第二节 妊娠期母体变化,一、生理变化,,,,妊娠期母体变化,"妊娠期母体生理变化
","SP
","PO
",4,quark.book,,,,,,
109,第五章  医疗人际关系伦理,第一节  医患关系,二、医患关系模式,,,,医患关系,"医患关系的模式
",SP,"PO
",1,quark.book,,,,,,
110,第二十二章  颈部疾病,第一节  甲状腺疾病,五、甲状腺腺瘤,,,,甲状腺疾病的概述,"甲状腺腺瘤的概述
","S
",S,3,quark.book,,,,,,
111,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第一节  动脉粥样硬化,【实验室检查】,,,动脉粥样硬化的概述,"动脉粥样硬化的实验室检查
",SP,"PO
",1,quark.book,,,,,,
112,第三章  病因与病因推断,第一节  病因的概念和病因模型,一、病因的定义,,,,病因的概念和病因模型,"病因的定义
",SP,S,1,quark.book,,,,,,
113,第十七章  儿童急救,第三节  儿童急性中毒,【中毒的处理】,,,,儿童急性中毒的概述,"儿童急性中毒的处理
","SP
","PO
",4,quark.book,,,,,,
114,第四篇  实验诊断,第三章  血栓与止血检测,第七节  血栓弹力图检测,【原理】,,,血栓弹力图检测,"血栓弹力图检测的原理
","SP
","PO
",4,quark.book,,,,,,
115,附录,附录三  中华人民共和国传染病防治法,第三章  疫情报告、通报和公布,,,,中华人民共和国传染病防治法,"中华人民共和国传染病防治法之疫情报告、通报和公布
",S,"S
",4,quark.book,,,,,,
116,第四十章  胆道疾病,第十节  胆囊息肉和良性肿瘤,一、胆囊息肉,,,,胆囊息肉和良性肿瘤,胆囊息肉,"S
",S,3,quark.book,,,,,,
117,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,第三节  呼吸支持技术,[附2]呼吸康复概述,三、呼吸康复的主要内容,（二）运动治疗方法,呼吸康复的主要内容,"呼吸康复之运动治疗
",S,"S
",4,quark.book,,,,,,
118,第六章病人的清洁卫生,第三节 皮肤护理,二、皮肤的清洁护理,,,,皮肤护理,"皮肤的清洁护理
","SP
","PO
",4,quark.book,,,,,,
119,第十四章血液系统疾病患儿的护理,第三节 出血性疾病,二、血友病,,,,出血性疾病的概述,"血友病的概述
","S
",S,3,quark.book,,,,,,
120,第一篇  常见症状,第一节  发热,【病因与分类】,,,,发热的常见症状,"发热的病因与分类
",SP,"PO
",1,quark.book,,,,,,
121,第九章  妊娠合并内外科疾病,第一节  心脏病,【心功能分级】,,,,心脏病的概述,"心功能分级
",SP,"PO
",1,quark.book,,,,,,
122,第六章  健康与公共卫生伦理,第一节  健康伦理,二、健康伦理的基本内容,（三）健康公正,,,健康伦理的基本内容,"健康公正的基本内容有健康公正
","SPO
","PO
",1,quark.book,,,,,,
123,第二十章  颅内和椎管内血管性疾病,第一节  自发性蛛网膜下腔出血,,,,,自发性蛛网膜下腔出血的概述,"自发性蛛网膜下腔出血的概述
",S,S,1,quark.book,,,,,,
124,第十一章  环境及理化因素损伤,第三节  冻伤及冻僵,一、临床特点,（二）冻结性冻伤,,,冻伤及冻僵的临床特点,"冻结性冻伤的临床特点有冻结性冻伤
","SPO
","PO
",1,quark.book,,,,,,
125,第十四章静脉输液与输血,第二节 静脉输血,八、输血反应和意外的监测与报告,,,,静脉输血的概述,"静脉输血输血反应和意外的监测与报告
","SP
","PO
",4,quark.book,,,,,,
126,感觉器,第十五章  前庭蜗器,第三节  内耳,四、内耳的血管、淋巴和神经,（三）内耳的神经,,内耳的血管、淋巴和神经,"内耳的神经
",SP,"PO
",1,quark.book,,,,,,
127,第八章  蠕虫病,第三节  线虫病,三、蛲虫病,【治疗】,（一）内服药,,线虫病的治疗方法,通过内服药治疗蛲虫病,"SPO
","PO
",1,quark.book,,,,,,
128,第十七章  创伤急救,第二节  特殊创伤急救,四、挤压伤与挤压综合征救治,（二）临床特征及处理,,,挤压伤与挤压综合征救治,挤压伤与挤压综合征的临床特征及处理,"SP
","PO
",4,quark.book,,,,,,
129,第六章  血液系统疾病病人的护理,第五节  白血病,一、急性白血病,【护理措施及依据】,,,急性白血病的概述,"急性白血病护理措施及依据
","SP
","PO
",4,quark.book,,,,,,
130,第三十五章  小肠疾病,第三节  肠炎性疾病,一、急性出血性肠炎,,,,肠炎性疾病的概述,"急性出血性肠炎的概述
","S
",S,3,quark.book,,,,,,
131,第十五章 心功能不全,第五节 心功能不全时临床表现的病理生理基础,二、静脉淤血,,,,心功能不全时临床表现的病理生理基础,心功能不全时临床表现的病理生理基础有静脉淤血,"SPO
","PO
",4,quark.book,,,,,,
132,第二十三章妇产科诊疗及手术病人的护理,第二节 宫颈活组织检查,,,,,宫颈活组织检查,"宫颈活组织检查
","SP
","S
",4,quark.book,,,,,,
133,第二十一章计划生育妇女的护理,第四节 避孕失败补救措施及护理,二、中期妊娠终止方法,,,,避孕失败补救措施及护理,"避孕失败补救措施及护理之中期妊娠终止方法
",S,"S
",4,quark.book,,,,,,
134,第二篇  介入放射学,第十四章  血管疾病的介入治疗,第一节  胆道梗阻,三、并发症及处理,,,胆道梗阻的概述,"胆道梗阻的并发症及处理
","SP
","PO
",4,quark.book,,,,,,
135,下篇  胚胎学,第21章  胚胎发生总论,一、生殖细胞和受精,（二）受精,,,生殖细胞和受精,"受精
",S,S,5,quark.book,,,,,,
136,第十三章给药,第四节 雾化吸入法,一、超声波雾化吸入法,,,,雾化吸入法,"超声波雾化吸入法的概述
","S
",S,3,quark.book,,,,,,
137,第六篇  血液系统疾病,第六章  溶血性贫血,第四节  血红蛋白病,二、异常血红蛋白病,,,血红蛋白病的概述,"异常血红蛋白病的概述
","S
",S,3,quark.book,,,,,,
138,第四章  消化系统疾病病人的护理,第四节  胃炎,二、慢性胃炎,〇知识拓展,幽门螺杆菌的发现,,慢性胃炎的知识拓展,"幽门螺杆菌的发现
",SP,"S
",4,quark.book,,,,,,
139,第二篇  临床篇,第十四章  泌尿系统,第二节  肾功能测定,二、肾小球滤过率测定,（三）临床应用,,肾小球滤过率测定,"肾小球滤过率测定的临床应用
","SP
","PO
",5,quark.book,,,,,,
140,第九章  感觉器官的功能,第三节  视觉,四、与视觉有关的几种生理现象,（五）双眼视觉和立体视觉,,,与视觉有关的几种生理现象,"双眼视觉和立体视觉
",S,S,5,quark.book,,,,,,
141,第十三章  心理干预备论,第一节  精神分析与心理动力学治疗,一、经典精神分析治疗,（三）适应证和评价,,,经典精神分析治疗,经典精神分析治疗之适应证和评价,S,S,5,quark.book,,,,,,
142,第二章儿童生长发育,第二节 儿童体格生长发育及评价,三、青春期体格生长特点,,,,儿童体格生长发育及评价,"青春期体格生长特点
",S,S,5,quark.book,,,,,,
143,第二章  病毒性传染病,第八节  流行性乙型脑炎,【流行病学】,（四）流行特征,,,流行性乙型脑炎的流行病学,"流行性乙型脑炎的流行特征
","SP
","PO
",5,quark.book,,,,,,
